WKT,název,popis
"POLYGON ((14.3948469 50.1008679, 14.3947758 50.1008021, 14.3947315 50.1007259, 14.3947087 50.1006395, 14.3947074 50.100553, 14.3947342 50.1004477, 14.394804 50.1003423, 14.3949488 50.1002347, 14.3951231 50.1001582, 14.3953015 50.1001233, 14.3954852 50.1001195, 14.3956556 50.1001388, 14.3958098 50.1001857, 14.3959305 50.1002416, 14.3960472 50.1003276, 14.3961028 50.100393, 14.3961316 50.1004618, 14.3961544 50.100541, 14.3961558 50.1006201, 14.3961437 50.1007001, 14.3960995 50.1007733, 14.3960485 50.1008438, 14.3959761 50.1009074, 14.3958956 50.1009668, 14.3957883 50.101009, 14.3956287 50.1010528, 14.395453 50.1010692, 14.3953028 50.101058, 14.395158 50.1010296, 14.3950521 50.1009986, 14.3949729 50.1009573, 14.3948992 50.1009161, 14.3948469 50.1008679))",Kruhak - silnice,
"POLYGON ((14.3914473 50.1003322, 14.3914527 50.1002427, 14.3919837 50.1002668, 14.3921339 50.1002909, 14.3922359 50.1003046, 14.3927723 50.1003356, 14.3933463 50.1003666, 14.3939632 50.1003907, 14.3947786 50.1004148, 14.3947679 50.1005214, 14.39421 50.1004973, 14.3934536 50.1004595, 14.3928528 50.1004285, 14.3921822 50.1003976, 14.3920213 50.1003666, 14.3914473 50.1003322))",Evropská (smer kruhak),
"POLYGON ((14.3914366 50.1005214, 14.3914473 50.1004388, 14.3917852 50.1004492, 14.3921393 50.1004457, 14.3925953 50.1004629, 14.3933838 50.1005008, 14.3940919 50.1005318, 14.3945586 50.1005593, 14.3947035 50.1005868, 14.3947464 50.1005902, 14.3947518 50.1007485, 14.3946338 50.1006763, 14.3945855 50.1006556, 14.3943333 50.100635, 14.3940168 50.1006281, 14.3937754 50.1006143, 14.3933463 50.1005937, 14.392944 50.100573, 14.3926489 50.100549, 14.3921876 50.1005386, 14.3917638 50.1005318, 14.3914366 50.1005214))",Evropska (smer od kruhaku),
"POLYGON ((14.3921099 50.1005105, 14.3921957 50.1005139, 14.3921421 50.1009509, 14.3921045 50.1012744, 14.3922118 50.1013638, 14.3925873 50.1016563, 14.3930004 50.1019798, 14.3935154 50.1023514, 14.3936173 50.1024133, 14.3937139 50.1024615, 14.393848 50.1025165, 14.3939714 50.1025509, 14.3940518 50.1025716, 14.3941967 50.1025819, 14.3949262 50.102637, 14.3949745 50.1026473, 14.3949691 50.1026817, 14.3943737 50.1026438, 14.3940572 50.1026232, 14.3939499 50.1026025, 14.3937568 50.1025337, 14.3934456 50.1023858, 14.3930004 50.102052, 14.3920509 50.1013122, 14.3920187 50.101264, 14.3921099 50.1005105))",Solinova,
"POLYGON ((14.394894 50.1028965, 14.3949423 50.1025008, 14.3949691 50.1022668, 14.3949906 50.1020707, 14.3950228 50.1019744, 14.3950764 50.1018367, 14.395114 50.1016888, 14.3951569 50.1014686, 14.3951891 50.1012483, 14.3952052 50.1011038, 14.3951354 50.1009937, 14.3953232 50.1010316, 14.3953446 50.1011141, 14.3953232 50.1012415, 14.3953017 50.1013997, 14.3952964 50.1015339, 14.3952266 50.1018161, 14.3951783 50.1019262, 14.3951408 50.1020604, 14.395114 50.1022668, 14.3950818 50.1024939, 14.3950603 50.1026935, 14.3950389 50.1029034, 14.394894 50.1028965))",Jugoslavskych partizanu (smer kruhak),
"POLYGON ((14.3952266 50.1029068, 14.3952588 50.1026969, 14.3950228 50.1026969, 14.3950335 50.1026419, 14.3952642 50.1026488, 14.3953017 50.1023769, 14.3953178 50.1022152, 14.3953339 50.1020776, 14.3953286 50.1019744, 14.3953232 50.101847, 14.3953286 50.1017335, 14.3953339 50.1016234, 14.3953446 50.1014892, 14.3953661 50.1013447, 14.3953876 50.1012552, 14.3954037 50.1011554, 14.3954305 50.1010935, 14.3954895 50.1010178, 14.3957883 50.101009, 14.3956182 50.1010832, 14.3955592 50.1011279, 14.3955378 50.1012036, 14.3955002 50.1013688, 14.3954788 50.1015374, 14.395468 50.101675, 14.3954573 50.1018023, 14.3954734 50.1019193, 14.3954734 50.1020879, 14.3954305 50.1025008, 14.3954037 50.1027107, 14.3953661 50.1029068, 14.3952266 50.1029068))",Jugoslavskych partizanu (smer od kruhaku),
"POLYGON ((14.3939499 50.1004278, 14.3939982 50.1003142, 14.3940357 50.1002489, 14.394143 50.1001766, 14.3943308 50.1000665, 14.3947116 50.0998669, 14.394996 50.0997155, 14.3953661 50.0995262, 14.3954358 50.0995262, 14.3954305 50.0995779, 14.3953607 50.0995813, 14.3952105 50.099657, 14.3946044 50.0999701, 14.3943951 50.1000871, 14.3942128 50.1001938, 14.3941162 50.1002626, 14.3940625 50.1003418, 14.3940465 50.1004347, 14.3939499 50.1004278))",Periferie 1,
"POLYGON ((14.3957094 50.0995262, 14.3963961 50.1000218, 14.3969164 50.1004243, 14.397072 50.1005551, 14.3971203 50.1007203, 14.3970398 50.1007237, 14.3970022 50.1006067, 14.3969915 50.1005585, 14.3968252 50.1004243, 14.396675 50.1003074, 14.3964765 50.100156, 14.3962512 50.0999839, 14.3960688 50.0998497, 14.3959079 50.0997327, 14.3957523 50.0996192, 14.3956933 50.0995951, 14.3957094 50.0995262))",Periferie 2,
"POLYGON ((14.3970566 50.1007349, 14.3970136 50.1007917, 14.3969385 50.1008536, 14.3968474 50.1009035, 14.3967669 50.1009431, 14.3966784 50.1009913, 14.3965738 50.1010446, 14.3964718 50.1011014, 14.3963511 50.1011685, 14.3962492 50.101227, 14.3961473 50.1012803, 14.3960293 50.1013388, 14.39593 50.1013904, 14.395812 50.1014506, 14.395702 50.1014902, 14.3956082 50.1015126, 14.3955197 50.1015263, 14.3954526 50.1015298, 14.3954151 50.1015452, 14.3952461 50.1015298, 14.3952514 50.1014747, 14.3954043 50.1014988, 14.3955143 50.1014902, 14.3956189 50.1014695, 14.395694 50.1014523, 14.3957691 50.1014231, 14.3958442 50.1013921, 14.3959139 50.1013526, 14.3959971 50.1013113, 14.3961446 50.1012304, 14.3963002 50.1011461, 14.3964075 50.1010893, 14.3965094 50.1010325, 14.3966086 50.1009775, 14.3966945 50.1009328, 14.396791 50.1008794, 14.3968634 50.1008485, 14.3969171 50.100814, 14.3969734 50.1007642, 14.3969949 50.1007315, 14.3970566 50.1007349))",Periferie 3,
"POLYGON ((14.3952029 50.1001678, 14.3952512 50.1001024, 14.3953102 50.1000577, 14.3953317 50.0998513, 14.3953585 50.0996448, 14.3953607 50.0995813, 14.3953692 50.0994899, 14.3954014 50.0993592, 14.3954336 50.0991252, 14.3954658 50.0989222, 14.3954658 50.098874, 14.3956106 50.0988981, 14.3958145 50.0989015, 14.3957877 50.0990529, 14.3957608 50.0992766, 14.3957501 50.0994349, 14.3957501 50.0995484, 14.3957501 50.0996792, 14.3957233 50.0998409, 14.3957072 50.0999923, 14.3956965 50.1001369, 14.3956965 50.1001885, 14.3955463 50.1001747, 14.3955677 50.099982, 14.3955731 50.0998513, 14.3955892 50.0996895, 14.3956106 50.0996517, 14.3956214 50.0995347, 14.3956053 50.0994246, 14.3956214 50.0992835, 14.3956321 50.0991424, 14.3956536 50.0989531, 14.3955785 50.0989497, 14.3955624 50.0991734, 14.3955463 50.0993454, 14.3955194 50.0994487, 14.3955033 50.0995588, 14.3954819 50.0996861, 14.3954658 50.0998478, 14.3954551 50.099982, 14.3954497 50.100068, 14.3954014 50.1001644, 14.3952029 50.1001678))",Svatovitska,
"POLYGON ((14.3960688 50.1007303, 14.3961037 50.1006529, 14.3963263 50.1006443, 14.3966053 50.1006512, 14.3968923 50.1006581, 14.3973107 50.1006856, 14.3978042 50.1007097, 14.3983407 50.1007406, 14.3983326 50.1008146, 14.3981663 50.1008077, 14.396954 50.1007441, 14.3964229 50.1007252, 14.3960688 50.1007303))",Ceskoslovenske armady (smer kruhak),
"POLYGON ((14.3960957 50.1005858, 14.3961064 50.1005067, 14.3962754 50.1005239, 14.3964765 50.1005376, 14.3969352 50.1005652, 14.3974716 50.1005927, 14.397933 50.1006168, 14.3983434 50.1006391, 14.3983407 50.1007097, 14.397241 50.1006563, 14.3964631 50.100615, 14.3962781 50.1006013, 14.3960957 50.1005858))",Ceskoslovenske armady (smer od kruhaku),
