WKT,název,popis,polygon_numpy,polygon_numpy_calibrated
"POLYGON ((14.3939446 50.1003998, 14.3939526 50.1003585, 14.3940599 50.1003602, 14.3940572 50.1004066, 14.3939446 50.1003998))",cross1,,"[[14.3939446 50.1003998]
 [14.3939526 50.1003585]
 [14.3940599 50.1003602]
 [14.3940572 50.1004066]
 [14.3939446 50.1003998]]","[[ -21.02393875 -164.83557804]
 [ -25.47213799 -163.94601323]
 [ -25.28902802 -152.01478131]
 [ -20.29153721 -152.31501261]
 [ -21.02393875 -164.83557804]]"
"POLYGON ((14.3957376 50.0996057, 14.3957622 50.0995553, 14.3958167 50.0995834, 14.3957818 50.0996333, 14.3957376 50.0996057))",cross2,,"[[14.3957376 50.0996057]
 [14.3957622 50.0995553]
 [14.3958167 50.0995834]
 [14.3957818 50.0996333]
 [14.3957376 50.0996057]]","[[-106.55130921   34.5374206 ]
 [-111.97956532   37.27284347]
 [-108.95306398   43.33296187]
 [-103.5786655    39.45223056]
 [-106.55130921   34.5374206 ]]"
"POLYGON ((14.3956772 50.0999997, 14.3955726 50.0999946, 14.3955726 50.0999464, 14.3956799 50.0999516, 14.3956772 50.0999997))",cross3,,"[[14.3956772 50.0999997]
 [14.3955726 50.0999946]
 [14.3955726 50.0999464]
 [14.3956799 50.0999516]
 [14.3956772 50.0999997]]","[[-64.1160533   27.82109188]
 [-64.66537282  16.19008791]
 [-69.85669689  16.19010197]
 [-69.29660372  28.12133251]
 [-64.1160533   27.82109188]]"
"POLYGON ((14.3953446 50.0999111, 14.3953554 50.0998543, 14.3954358 50.0998578, 14.3954278 50.0999146, 14.3953446 50.0999111))",cross4,,"[[14.3953446 50.0999111]
 [14.3953554 50.0998543]
 [14.3954358 50.0998578]
 [14.3954278 50.0999146]
 [14.3953446 50.0999111]]","[[-73.65871693  -9.16236533]
 [-79.77629622  -7.96143956]
 [-79.39930389   0.97864369]
 [-73.28172586   0.08906423]
 [-73.65871693  -9.16236533]]"
"POLYGON ((14.3962589 50.1000067, 14.396224 50.099974, 14.3963018 50.0999275, 14.396342 50.0999585, 14.3962589 50.1000067))",Mnohoúhelník 6,,"[[14.3962589 50.1000067]
 [14.396224  50.099974 ]
 [14.3963018 50.0999275]
 [14.396342  50.0999585]
 [14.3962589 50.1000067]]","[[-63.36196181  92.50326811]
 [-66.88387632  88.62256905]
 [-71.89206422  97.27356029]
 [-68.5532444  101.74359307]
 [-63.36196181  92.50326811]]"
"POLYGON ((14.396342 50.0999585, 14.3963903 50.0999327, 14.3965781 50.1000755, 14.3965432 50.100103, 14.396342 50.0999585))",Mnohoúhelník 7,,"[[14.396342  50.0999585]
 [14.3963903 50.0999327]
 [14.3965781 50.1000755]
 [14.3965432 50.100103 ]
 [14.396342  50.0999585]]","[[-68.5532444  101.74359307]
 [-71.33197792 107.11432328]
 [-55.95188185 127.99671992]
 [-52.99004846 124.11600512]
 [-68.5532444  101.74359307]]"
"POLYGON ((14.3964976 50.1001839, 14.3964547 50.1001529, 14.3965432 50.100103, 14.3965727 50.1001392, 14.3964976 50.1001839))",Mnohoúhelník 8,,"[[14.3964976 50.1001839]
 [14.3964547 50.1001529]
 [14.3965432 50.100103 ]
 [14.3965727 50.1001392]
 [14.3964976 50.1001839]]","[[-44.27685645 119.04549239]
 [-47.61567015 114.27522962]
 [-52.99004846 124.11600512]
 [-49.09118068 127.39625197]
 [-44.27685645 119.04549239]]"
"POLYGON ((14.39565 50.0994342, 14.3956581 50.0993912, 14.3957278 50.0993946, 14.3957251 50.0994393, 14.39565 50.0994342))",Mnohoúhelník 9,,"[[14.39565   50.0994342]
 [14.3956581 50.0993912]
 [14.3957278 50.0993946]
 [14.3957251 50.0994393]
 [14.39565   50.0994342]]","[[-125.02254954   24.79681773]
 [-129.65380744   25.69752163]
 [-129.28757423   33.44781682]
 [-124.47321838   33.14756549]
 [-125.02254954   24.79681773]]"
"POLYGON ((14.3971586 50.1007725, 14.397172 50.1005781, 14.3972176 50.1005798, 14.3972069 50.100776, 14.3971586 50.1007725))",Mnohoúhelník 10,,"[[14.3971586 50.1007725]
 [14.397172  50.1005781]
 [14.3972176 50.1005798]
 [14.3972069 50.100776 ]
 [14.3971586 50.1007725]]","[[ 19.11729201 192.54540829]
 [ -1.8201815  194.03541507]
 [ -1.63708598 199.10591072]
 [ 19.49424848 197.91613096]
 [ 19.11729201 192.54540829]]"
"POLYGON ((14.3969092 50.1005596, 14.396944 50.1005235, 14.3970996 50.1005321, 14.3971533 50.1005734, 14.3969092 50.1005596))",Mnohoúhelník 11,,"[[14.3969092 50.1005596]
 [14.396944  50.1005235]
 [14.3970996 50.1005321]
 [14.3971533 50.1005734]
 [14.3969092 50.1005596]]","[[ -3.81269236 164.81334821]
 [ -7.70077574 168.68293791]
 [ -6.77452386 185.98489212]
 [ -2.32638601 191.95606712]
 [ -3.81269236 164.81334821]]"
"POLYGON ((14.3969065 50.1007919, 14.3968743 50.100754, 14.3971318 50.1007626, 14.3970621 50.1008056, 14.3969065 50.1007919))",Mnohoúhelník 12,,"[[14.3969065 50.1007919]
 [14.3968743 50.100754 ]
 [14.3971318 50.1007626]
 [14.3970621 50.1008056]
 [14.3969065 50.1007919]]","[[ 21.2067552  164.51313026]
 [ 17.12480733 160.93264553]
 [ 18.05103395 189.56537935]
 [ 22.68227289 181.81508605]
 [ 21.2067552  164.51313026]]"
"POLYGON ((14.3961742 50.1007424, 14.3961903 50.1006512, 14.3962547 50.1006564, 14.396252 50.10072, 14.3961742 50.1007424))",Mnohoúhelník 13,,"[[14.3961742 50.1007424]
 [14.3961903 50.1006512]
 [14.3962547 50.1006564]
 [14.396252  50.10072  ]
 [14.3961742 50.1007424]]","[[15.87550011 83.08496903]
 [ 6.05293787 84.87520548]
 [ 6.61299427 92.03616879]
 [13.46293638 91.73594484]
 [15.87550011 83.08496903]]"
"POLYGON ((14.396193 50.1005858, 14.3961877 50.100486, 14.3962754 50.1005239, 14.3962781 50.1006013, 14.396193 50.1005858))",Mnohoúhelník 14,,"[[14.396193  50.1005858]
 [14.3961877 50.100486 ]
 [14.3962754 50.1005239]
 [14.3962781 50.1006013]
 [14.396193  50.1005858]]","[[ -0.99087238  85.17543148]
 [-11.7396839   84.58610031]
 [ -7.65771741  94.33790725]
 [  0.67853191  94.6381328 ]
 [ -0.99087238  85.17543148]]"
"POLYGON ((14.3963002 50.1011461, 14.3963405 50.1011278, 14.3964022 50.1011725, 14.3963861 50.1012138, 14.3963002 50.1011461))",Mnohoúhelník 15,,"[[14.3963002 50.1011461]
 [14.3963405 50.1011278]
 [14.3964022 50.1011725]
 [14.3963861 50.1012138]
 [14.3963002 50.1011461]]","[[ 59.35538109  97.09561502]
 [ 57.38439727 101.57677212]
 [ 62.19872422 108.43752017]
 [ 66.64688021 106.64729092]
 [ 59.35538109  97.09561502]]"
"POLYGON ((14.3962628 50.1012895, 14.3963861 50.1012138, 14.3964049 50.1012586, 14.3963003 50.1013188, 14.3962628 50.1012895))",Mnohoúhelník 16,,"[[14.3962628 50.1012895]
 [14.3963861 50.1012138]
 [14.3964049 50.1012586]
 [14.3963003 50.1013188]
 [14.3962628 50.1012895]]","[[ 74.8000709   92.93696076]
 [ 66.64688021 106.64729092]
 [ 71.47198769 108.73777185]
 [ 77.95576994  97.10678598]
 [ 74.8000709   92.93696076]]"
"POLYGON ((14.3954623 50.10156, 14.395481 50.101455, 14.3955427 50.1014877, 14.3955347 50.1015462, 14.3954623 50.10156))",Mnohoúhelník 17,,"[[14.3954623 50.10156  ]
 [14.395481  50.101455 ]
 [14.3955427 50.1014877]
 [14.3955347 50.1015462]
 [14.3954623 50.10156  ]]","[[103.93423652   3.92540391]
 [ 92.6253222    6.00470714]
 [ 96.14721194  12.86545698]
 [102.44788986  11.97592154]
 [103.93423652   3.92540391]]"
"POLYGON ((14.3954489 50.1016064, 14.3951377 50.1016013, 14.3951458 50.1015479, 14.3954623 50.10156, 14.3954489 50.1016064))",Mnohoúhelník 18,,"[[14.3954489 50.1016064]
 [14.3951377 50.1016013]
 [14.3951458 50.1015479]
 [14.3954623 50.10156  ]
 [14.3954489 50.1016064]]","[[108.93170272   2.43541127]
 [108.38256403 -32.16850011]
 [102.63116518 -31.2678444 ]
 [103.93423652   3.92540391]
 [108.93170272   2.43541127]]"
"POLYGON ((14.395075 50.1015232, 14.3950804 50.101444, 14.3951448 50.1014475, 14.3951458 50.1015479, 14.395075 50.1015232))",Mnohoúhelník 19,,"[[14.395075  50.1015232]
 [14.3950804 50.101444 ]
 [14.3951448 50.1014475]
 [14.3951458 50.1015479]
 [14.395075  50.1015232]]","[[ 99.97090747 -39.14046694]
 [ 91.44074379 -38.54004639]
 [ 91.8176815  -31.37908184]
 [102.63116518 -31.2678444 ]
 [ 99.97090747 -39.14046694]]"
"POLYGON ((14.3951952 50.1011426, 14.3952052 50.1011038, 14.3955331 50.1011151, 14.3955117 50.1011564, 14.3951952 50.1011426))",Mnohoúhelník 20,,"[[14.3951952 50.1011426]
 [14.3952052 50.1011038]
 [14.3955331 50.1011151]
 [14.3955117 50.1011564]
 [14.3951952 50.1011426]]","[[ 58.9787109  -25.77494953]
 [ 54.79979321 -24.66300831]
 [ 56.01676608  11.79786122]
 [ 60.46494038   9.41829694]
 [ 58.9787109  -25.77494953]]"
"POLYGON ((14.3945903 50.0998761, 14.3946788 50.0998658, 14.3947405 50.099926, 14.3946976 50.0999518, 14.3945903 50.0998761))",Mnohoúhelník 21,,"[[14.3945903 50.0998761]
 [14.3946788 50.0998658]
 [14.3947405 50.099926 ]
 [14.3946976 50.0999518]
 [14.3945903 50.0998761]]","[[-77.42861605 -93.03680288]
 [-78.53793914 -83.19603479]
 [-72.05412337 -76.33531801]
 [-69.2753678  -81.10559486]
 [-77.42861605 -93.03680288]]"
"POLYGON ((14.3945313 50.0998417, 14.3945769 50.099864, 14.3944535 50.0999191, 14.394416 50.0998847, 14.3945313 50.0998417))",Mnohoúhelník 22,,"[[14.3945313 50.0998417]
 [14.3945769 50.099864 ]
 [14.3944535 50.0999191]
 [14.394416  50.0998847]
 [14.3945313 50.0998417]]","[[ -81.13366517  -99.59730078]
 [ -78.73184272  -94.52681285]
 [ -72.79737608 -108.24830387]
 [ -76.50241887 -112.41810824]
 [ -81.13366517  -99.59730078]]"
"POLYGON ((14.3947862 50.1026849, 14.3947996 50.1026143, 14.3948667 50.1026075, 14.3948506 50.1027004, 14.3947862 50.1026849))",Mnohoúhelník 23,,"[[14.3947862 50.1026849]
 [14.3947996 50.1026143]
 [14.3948667 50.1026075]
 [14.3948506 50.1027004]
 [14.3947862 50.1026849]]","[[225.09100389 -71.25278692]
 [217.48707444 -69.76284062]
 [216.75462078 -62.30165714]
 [226.76035354 -64.09180855]
 [225.09100389 -71.25278692]]"
"POLYGON ((14.3927191 50.1019369, 14.3927486 50.1019077, 14.3929766 50.1020711, 14.3929229 50.1020917, 14.3927191 50.1019369))",Mnohoúhelník 24,,"[[14.3927191 50.1019369]
 [14.3927486 50.1019077]
 [14.3929766 50.1020711]
 [14.3929229 50.1020917]
 [14.3927191 50.1019369]]","[[ 144.5296018  -301.10473705]
 [ 141.38459141 -297.8245003 ]
 [ 158.98345567 -272.47191553]
 [ 161.20221891 -278.44307703]
 [ 144.5296018  -301.10473705]]"
"POLYGON ((14.3927486 50.1019077, 14.3927513 50.101856, 14.3928264 50.1018165, 14.3928666 50.1018492, 14.3927486 50.1019077))",Mnohoúhelník 25,,"[[14.3927486 50.1019077]
 [14.3927513 50.101856 ]
 [14.3928264 50.1018165]
 [14.3928666 50.1018492]
 [14.3927486 50.1019077]]","[[ 141.38459141 -297.8245003 ]
 [ 135.8162319  -297.52430467]
 [ 131.56183303 -289.17357705]
 [ 135.08376691 -284.70351591]
 [ 141.38459141 -297.8245003 ]]"
"POLYGON ((14.3920413 50.1013586, 14.3921701 50.1013001, 14.3922076 50.1013397, 14.3921111 50.1013827, 14.3920413 50.1013586))",Mnohoúhelník 26,,"[[14.3920413 50.1013586]
 [14.3921701 50.1013001]
 [14.3922076 50.1013397]
 [14.3921111 50.1013827]
 [14.3920413 50.1013586]]","[[  82.24393693 -376.47304692]
 [  75.94312006 -362.15114066]
 [  80.20824282 -357.98131173]
 [  84.8396135  -368.71162158]
 [  82.24393693 -376.47304692]]"
"POLYGON ((14.3920199 50.1011505, 14.3920253 50.1011126, 14.3921352 50.1011143, 14.3921352 50.1011642, 14.3920199 50.1011505))",Mnohoúhelník 27,,"[[14.3920199 50.1011505]
 [14.3920253 50.1011126]
 [14.3921352 50.1011143]
 [14.3921352 50.1011642]
 [14.3920199 50.1011505]]","[[  59.83042345 -378.85268577]
 [  55.74838241 -378.25224184]
 [  55.93145428 -366.03190211]
 [  61.30595759 -366.03188942]
 [  59.83042345 -378.85268577]]"
"POLYGON ((14.3920962 50.1005977, 14.3920962 50.1005633, 14.3922115 50.1005685, 14.3922034 50.1006081, 14.3920962 50.1005977))",Mnohoúhelník 28,,"[[14.3920962 50.1005977]
 [14.3920962 50.1005633]
 [14.3922115 50.1005685]
 [14.3922034 50.1006081]
 [14.3920962 50.1005977]]","[[ 2.90804840e-01 -3.70368573e+02]
 [-3.41426422e+00 -3.70368573e+02]
 [-2.85419417e+00 -3.57547780e+02]
 [ 1.41094132e+00 -3.58448461e+02]
 [ 2.90804840e-01 -3.70368573e+02]]"
"POLYGON ((14.3920801 50.1007233, 14.3920881 50.1006838, 14.39219 50.1006872, 14.392182 50.1007302, 14.3920801 50.1007233))",Mnohoúhelník 29,,"[[14.3920801 50.1007233]
 [14.3920881 50.1006838]
 [14.39219   50.1006872]
 [14.392182  50.1007302]
 [14.3920801 50.1007233]]","[[  13.81861613 -372.15881019]
 [   9.56424839 -371.26925155]
 [   9.93044256 -359.93847273]
 [  14.56177746 -360.82803109]
 [  13.81861613 -372.15881019]]"
"POLYGON ((14.3921364 50.1002701, 14.3921444 50.1002306, 14.3922329 50.1002357, 14.3922329 50.1002787, 14.3921364 50.1002701))",Mnohoúhelník 30,,"[[14.3921364 50.1002701]
 [14.3921444 50.1002306]
 [14.3922329 50.1002357]
 [14.3922329 50.1002787]
 [14.3921364 50.1002701]]","[[ -34.99350933 -365.89850635]
 [ -39.24787425 -365.00893935]
 [ -38.698561   -355.16817561]
 [ -34.06722751 -355.1681824 ]
 [ -34.99350933 -365.89850635]]"
"POLYGON ((14.3953409 50.0995902, 14.3953275 50.0995446, 14.3953824 50.0995145, 14.3953985 50.0995618, 14.3953409 50.0995902))",Mnohoúhelník 32,,"[[14.3953409 50.0995902]
 [14.3953275 50.0995446]
 [14.3953824 50.0995145]
 [14.3953985 50.0995618]
 [14.3953409 50.0995902]]","[[-108.22090948   -9.57366051]
 [-113.13221551  -11.06365269]
 [-116.37407539   -4.9590278 ]
 [-111.2796724    -3.16881036]
 [-108.22090948   -9.57366051]]"
"POLYGON ((14.3954845 50.0994206, 14.3954255 50.0994163, 14.3954309 50.099369, 14.3954926 50.0993699, 14.3954845 50.0994206))",Mnohoúhelník 33,,"[[14.3954845 50.0994206]
 [14.3954255 50.0994163]
 [14.3954309 50.099369 ]
 [14.3954926 50.0993699]
 [14.3954845 50.0994206]]","[[-126.48741475    6.39403937]
 [-126.9505749    -0.166468  ]
 [-132.0449657     0.43401201]
 [-131.94799573    7.29474794]
 [-126.48741475    6.39403937]]"
"POLYGON ((14.3954983 50.0988355, 14.3955077 50.0987933, 14.3955681 50.0988002, 14.3955667 50.0988407, 14.3954983 50.0988355))",Mnohoúhelník 34,,"[[14.3954983 50.0988355]
 [14.3955077 50.0987933]
 [14.3955681 50.0988002]
 [14.3955667 50.0988407]
 [14.3954983 50.0988355]]","[[-189.50493229    7.92893257]
 [-194.05002679    8.97420143]
 [-193.30681792   15.69037848]
 [-188.94481436   15.53467179]
 [-189.50493229    7.92893257]]"
"POLYGON ((14.3957236 50.0988475, 14.3957236 50.0988088, 14.3957759 50.0988088, 14.3957746 50.098851, 14.3957236 50.0988475))",Mnohoúhelník 35,,"[[14.3957236 50.0988475]
 [14.3957236 50.0988088]
 [14.3957759 50.0988088]
 [14.3957746 50.098851 ]
 [14.3957236 50.0988475]]","[[-188.21229608   32.98117431]
 [-192.38043105   32.98120626]
 [-192.38038598   38.79670896]
 [-187.83529006   38.65212055]
 [-188.21229608   32.98117431]]"
